business_code,business_name,hierarchy_path,biz_large_name,biz_middle_name,biz_small_name,biz_sub_name,linked_ksic_codes,linked_ksic_names,definition,include_activities,exclude_activities,detail_description,representative_items,activity_terms,synonyms,ksic_version,has_haeseol
749400,인물 사진 및 행사용 영상 촬영업,"전문, 과학 및 기술 서비스업 > 기타 전문, 과학 및 기술 서비스업 > 사진 촬영 및 처리업 > 인물 사진 및 행사용 영상 촬영업","전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업",사진 촬영 및 처리업,사진 촬영 및 처리업,73301,인물 사진 및 행사용 영상 촬영업,사진관 또는 고객의 사무실 및 가정과 같은 장소에서 인물을 촬영하 는 산업활동을 말한다. 사진은 그 대상을 있는 그대로 표현한다. 영화 용 이외의 행사 사진 및 비디오 등 영상 촬영활동도 포함한다.,초상화 촬영(개인)|행사 비디오 촬영|여권 사진 촬영|학교 사진 촬영,동전 조작식 사진 촬영기 운영,,초상화 촬영(개인)|행사 비디오 촬영|여권 사진 촬영|학교 사진 촬영,,,KSIC 11차 (2024),True
749401,그 외 기타 달리 분류되지 않은 개인 서비스업,"협회 및 단체, 수리 및 기타 개인 서비스업 > 기타 개인 서비스업 > 그 외 기타 개인 서비스업 > 그 외 기타 분류 안된 개인 서비스업 > 그 외 기타 달리 분류되지 않은 개인 서비스업","협회 및 단체, 수리 및 기타 개인 서비스업",기타 개인 서비스업,그 외 기타 개인 서비스업,그 외 기타 분류 안된 개인 서비스업,96999,그 외 기타 달리 분류되지 않은 개인 서비스업,달리 분류되지 않은 개인 서비스를 하는 산업활동을 말한다.,구두 닦기|대리 시장 보기|문신 서비스|대리 운전,,즉석 자동사진촬영기 운영,구두 닦기|대리 시장 보기|문신|대리 운전,,,KSIC 11차 (2024),True
749402,상업용 사진 촬영업,"전문, 과학 및 기술 서비스업 > 기타 전문, 과학 및 기술 서비스업 > 사진 촬영 및 처리업 > 상업용 사진 촬영업","전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업",사진 촬영 및 처리업,사진 촬영 및 처리업,73302,상업용 사진 촬영업,"광고회사, 출판업자 및 기타 산업 사용자를 대상으로 사진 촬영서비 스를 제공하는 산업활동을 말한다.",광고관련 사진 촬영|상업용 사진 촬영|산업용 사진 촬영|의류 사진 촬영|카탈로그 사진 촬영|기기 및 건물 사진 촬영|홍보 관련 인물 촬영|구축물 촬영,,,광고관련 사진 촬영|상업용 사진 촬영|산업용 사진 촬영|의류 사진 촬영|카탈로그 사진 촬영|기기 및 건물 사진 촬영|홍보 관련 인물 촬영|구축물 촬영,출판|구축|광고|홍보,,KSIC 11차 (2024),True
749403,사진 처리업,"전문, 과학 및 기술 서비스업 > 기타 전문, 과학 및 기술 서비스업 > 사진 촬영 및 처리업 > 사진 처리업","전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업",사진 촬영 및 처리업,사진 촬영 및 처리업,73303,사진 처리업,"사진 및 비디오의 현상 처리, 인화 및 확대 처리 등을 수행하는 산업 활동을 말한다. 슬라이드 제작, 오래된 사진 복원 및 투영도 수정 등 을 수행하는 경우도 포함한다.",사진 인화 서비스|슬라이드 제작 서비스|사진 처리 서비스|사진 복원 서비스|사진 복사 및 손질 서비스(청사진 복사 제외)|마이크로 필름 처리 서비스 기전,,,사진 인화|슬라이드 제작|사진 처리|사진 복원|사진 복사 및 손질 서비스(청사진 복사 제외)|마이크로 필름 처리 서비스 기전,제작,,KSIC 11차 (2024),True
749500,포장 및 충전업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 기타 사업 지원 서비스업 > 그 외 기타 사업 지원 서비스업 > 포장 및 충전업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,기타 사업 지원 서비스업,그 외 기타 사업 지원 서비스업,75994,포장 및 충전업,"수수료 또는 계약에 의하여 자동 또는 수동 포장을 불문하고 수축 포 장, 투명 포장 등의 각종 포장 방법을 이용하여 음식물, 의약품, 화장 품, 철물 등의 제품을 포장하는 산업활동을 말한다. 이 산업에는 에어 로졸의 혼합 및 주입이 포함되며, 포장물에 상표 부착 및 날인하는 활동이 결합될 수 있다.",상표 부착 서비스|여행용구 조립 및 포장|부탄 가스 주입|의류 포장 및 업 임설,운수업과 관련된 화물 포장 활동 스사 업업,,상표 부착|여행용구 조립 및 포장|부탄 가스 주입|의류 포장 및 업 임설,조립|음식|이용,,KSIC 11차 (2024),True
749601,그 외 기타 분류 안된 사업 지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 기타 사업 지원 서비스업 > 그 외 기타 사업 지원 서비스업 > 그 외 기타 분류 안된 사업 지원 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,기타 사업 지원 서비스업,그 외 기타 사업 지원 서비스업,75999,그 외 기타 분류 안된 사업 지원 서비스업,그 외 기타 달리 분류되지 않은 사업 지원 서비스를 수행하는 산업활 동을 말한다.,"가스, 전기, 수도 계량 대리",,종이재단 지원 서비스,"가스, 전기, 수도 계량 대리",,,KSIC 11차 (2024),True
749602,그 외 기타 분류 안된 사업 지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 기타 사업 지원 서비스업 > 그 외 기타 사업 지원 서비스업 > 그 외 기타 분류 안된 사업 지원 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,기타 사업 지원 서비스업,그 외 기타 사업 지원 서비스업,75999,그 외 기타 분류 안된 사업 지원 서비스업,그 외 기타 달리 분류되지 않은 사업 지원 서비스를 수행하는 산업활 동을 말한다.,"가스, 전기, 수도 계량 대리",,"해태건조, 마세크탄(조개탄) 도급가공, 갈포가공","가스, 전기, 수도 계량 대리",,,KSIC 11차 (2024),True
749603,그 외 기타 분류 안된 사업 지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 기타 사업 지원 서비스업 > 그 외 기타 사업 지원 서비스업 > 그 외 기타 분류 안된 사업 지원 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,기타 사업 지원 서비스업,그 외 기타 사업 지원 서비스업,75999,그 외 기타 분류 안된 사업 지원 서비스업,그 외 기타 달리 분류되지 않은 사업 지원 서비스를 수행하는 산업활 동을 말한다.,"가스, 전기, 수도 계량 대리",,선박 임가공,"가스, 전기, 수도 계량 대리",,,KSIC 11차 (2024),True
749604,그 외 기타 분류 안된 사업 지원 서비스업(기타임가공),"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 기타 사업 지원 서비스업 > 그 외 기타 사업 지원 서비스업 > 그 외 기타 분류 안된 사업 지원 서비스업(기타임가공)","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,기타 사업 지원 서비스업,그 외 기타 사업 지원 서비스업,75999,그 외 기타 분류 안된 사업 지원 서비스업,그 외 기타 달리 분류되지 않은 사업 지원 서비스를 수행하는 산업활 동을 말한다.,"가스, 전기, 수도 계량 대리",,기타 임가공,"가스, 전기, 수도 계량 대리",가공,,KSIC 11차 (2024),True
749609,온라인 활용 마케팅 및 관련 사업지원 서비스업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 기타 사업 지원 서비스업 > 그 외 기타 사업 지원 서비스업 > 온라인 활용 마케팅 및 관련 사업지원 서비스업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,기타 사업 지원 서비스업,그 외 기타 사업 지원 서비스업,75995 | 75999,온라인 활용 마케팅 및 관련 사업지원 서비스업 | 그 외 기타 분류 안된 사업 지원 서비스업,온라인을 활용한 마케팅 및 관련 사업지원 서비스를 수행하는 산업활 동을 말한다.,모바일 상품권 판매 대행,온라인 통신망을 통하여 각종 상품을 소매하는 활동|게임 소프트웨어 개발|범용성 응용 소프트웨어 개발,,모바일 상품권 판매 대행,판매,,KSIC 11차 (2024),True
749901,문서 작성 및 복사업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 기타 사업 지원 서비스업 > 사무 지원 서비스업 > 문서 작성 및 복사업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,기타 사업 지원 서비스업,사무 지원 서비스업,75911,문서 작성 및 복사업,"편지 및 이력서 작성, 문서 편집 및 교정, 타이핑, 문서 처리(워드프 로세싱), 문서의 속기, 필사 등을 하는 산업활동을 말한다. 인쇄활동 은 하지 않으면서 도서의 복사, 청사진 처리를 수행하는 산업활동을 포함한다.",,,속기사,문서 작성 및 복사업,인쇄|편집,,KSIC 11차 (2024),True
749902,번역 및 통역 서비스업,"전문, 과학 및 기술 서비스업 > 기타 전문, 과학 및 기술 서비스업 > 그 외 기타 전문, 과학 및 기술 서비스업 > 번역 및 통역 서비스업","전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",73902,번역 및 통역 서비스업,"번역, 통역 및 수화 서비스를 제공하는 산업활동을 말한다.",번역 서비스|통역 서비스,,,번역|통역,번역,,KSIC 11차 (2024),True
749903,사업 및 무형 재산권 중개업,"전문, 과학 및 기술 서비스업 > 기타 전문, 과학 및 기술 서비스업 > 그 외 기타 전문, 과학 및 기술 서비스업 > 사업 및 무형 재산권 중개업","전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업",73903,사업 및 무형 재산권 중개업,"사업 및 무형 재산권을 감정, 중개 및 알선하는 산업활동을 말한다.","지적 재산권 감정 및 알선|사업체 합병(M&A) 알선 및 자문|복제권 감정 및 알선|회원권 분양 중개 및 대행|특허권, 저작권 구매 및 임차 중개",무형 재산권 임대,사업 재산권 중개업,"지적 재산권 감정 및|사업체 합병(M&A) 알선 및 자문|복제권 감정 및|회원권 분양 중개 및 대행|특허권, 저작권 구매 및 임차",중개|알선|분양|자문,,KSIC 11차 (2024),True
749904,손해 사정업,금융 및 보험업 > 금융 및 보험관련 서비스업 > 보험 및 연금관련 서비스업 > 손해 사정업,금융 및 보험업,금융 및 보험관련 서비스업,보험 및 연금관련 서비스업,보험 및 연금관련 서비스업,66201,손해 사정업,"보험 및 피보험자를 위해 각종 손실, 파손의 감정 및 기타 보험 감정 업무를 수행하는 산업활동을 말한다.",손해사정 사무소|손실 평가서비스,,,손해사정 사무소|손실 평가,보험,,KSIC 11차 (2024),True
749905,문서 작성 및 복사업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 사업 지원 서비스업 > 기타 사업 지원 서비스업 > 사무 지원 서비스업 > 문서 작성 및 복사업","사업시설 관리, 사업 지원 및 임대 서비스업",사업 지원 서비스업,기타 사업 지원 서비스업,사무 지원 서비스업,75911,문서 작성 및 복사업,"편지 및 이력서 작성, 문서 편집 및 교정, 타이핑, 문서 처리(워드프 로세싱), 문서의 속기, 필사 등을 하는 산업활동을 말한다. 인쇄활동 은 하지 않으면서 도서의 복사, 청사진 처리를 수행하는 산업활동을 포함한다.",,,,문서 작성 및 복사업,인쇄|편집,,KSIC 11차 (2024),True
749906,통관 대리 및 관련서비스업,운수 및 창고업 > 창고 및 운송관련 서비스업 > 기타 운송관련 서비스업 > 그 외 기타 운송관련 서비스업 > 통관 대리 및 관련서비스업,운수 및 창고업,창고 및 운송관련 서비스업,기타 운송관련 서비스업,그 외 기타 운송관련 서비스업,52991,통관 대리 및 관련서비스업,"물품 수출․입 절차와 관련하여 분류 및 세액을 계산하고, 통관 신고 운 등 절차를 대행하며 관련 서비스를 제공하는 산업활동을 말한다.",수출|입 통관절차 대행|관세사업,,관세사,수출|입 통관절차 대행|관세사업,,,KSIC 11차 (2024),True
