국세청코드,KSIC코드,KSIC명
261011,23199,그 외 기타 유리제품 제조업
269100,23221,가정용 및 장식용 도자기 제조업
269101,23222,위생용 및 산업용 도자기 제조업
269102,23229,기타 일반 도자기 제조업
269200,23211,정형 내화 요업제품 제조업
269201,23212,부정형 내화 요업제품 제조업
269300,23232,타일 및 유사 비내화 요업제품 제조업
269301,23231,"점토 벽돌, 블록 및 유사 비내화 요업제품 제조업"
269302,23239,기타 건축용 비내화 요업제품 제조업
269401,23311,시멘트 제조업
269402,23312,석회 및 플라스터 제조업
269403,23312,석회 및 플라스터 제조업
269501,23322,레미콘 제조업
269502,23323,플라스터 혼합제품 제조업
269503,23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업
269504,23326,인조대리석 제품 제조업
269504,23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
269505,23321,비내화 모르타르 제조업
269506,23329,그 외 기타 콘크리트 제품 및 유사 제품 제조업
269507,23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업"
269508,23326,인조대리석 제품 제조업
269508,23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업
269509,23329,그 외 기타 콘크리트 제품 및 유사 제품 제조업
269601,23911,건설용 석제품 제조업
269603,23919,기타 석제품 제조업
269901,23994,암면 및 유사 제품 제조업
269902,23992,연마재 제조업
269903,23991,아스팔트 콘크리트 및 혼합제품 제조업
269904,23993,비금속광물 분쇄물 생산업
269905,23995,탄소섬유 제조업
269906,23999,그 외 기타 분류 안된 비금속 광물제품 제조업
269907,23992,연마재 제조업
269908,23999,그 외 기타 분류 안된 비금속 광물제품 제조업
271101,24111,제철업
271102,24112,제강업
271103,24113,합금철 제조업
271104,24119,기타 제철 및 제강업
271201,24199,그 외 기타 1차 철강 제조업
271202,24131,주철관 제조업
271204,24121,열간 압연 및 압출제품 제조업
271205,24122,냉간 압연 및 압출 제품 제조업
271206,24123,철강선 제조업
271207,24132,강관 제조업
271208,24133,강관 가공품 및 관 연결구류 제조업
271901,24191,"도금, 착색 및 기타 표면 처리 강재 제조업"
271902,24199,그 외 기타 1차 철강 제조업
272100,24219,"기타 비철금속 제련, 정련 및 합금 제조업"
272101,24211,"동 제련, 정련 및 합금 제조업"
272102,24212,"알루미늄 제련, 정련 및 합금 제조업"
272103,24213,"연 및 아연 제련, 정련 및 합금 제조업"
272200,24219,"기타 비철금속 제련, 정련 및 합금 제조업"
272201,24211,"동 제련, 정련 및 합금 제조업"
272202,24212,"알루미늄 제련, 정련 및 합금 제조업"
272203,24213,"연 및 아연 제련, 정련 및 합금 제조업"
272300,24222,"알루미늄 압연, 압출 및 연신제품 제조업"
272301,24221,"동 압연, 압출 및 연신제품 제조업"
272302,24229,"기타 비철금속 압연, 압출 및 연신제품 제조업"
272900,24290,기타 1차 비철금속 제조업
273101,24311,선철 주물 주조업
273102,24312,강 주물 주조업
273200,24321,알루미늄 주물 주조업
273201,24329,기타 비철금속 주조업
273202,24329,기타 비철금속 주조업
281100,25111,"금속 문, 창, 셔터 및 관련제품 제조업"
281101,25999,그 외 기타 분류 안된 금속 가공제품 제조업
281102,29133,"탭, 밸브 및 유사 장치 제조업"
281103,25112,구조용 금속 판제품 및 공작물 제조업
281104,25113,육상 금속 골조 구조재 제조업
281105,25114,수상 금속 골조 구조재 제조업
281106,25119,기타 구조용 금속제품 제조업
281201,25121,산업용 난방보일러 및 방열기 제조업
281202,25121,산업용 난방보일러 및 방열기 제조업
281204,25122,금속 탱크 및 저장 용기 제조업
281205,25123,압축 및 액화 가스 용기 제조업
281300,25130,핵반응기 및 증기보일러 제조업
289101,25911,분말 야금제품 제조업
289102,25912,금속 단조제품 제조업
289103,25913,자동차용 금속 압형제품 제조업
289104,25914,그 외 금속 압형제품 제조업
289201,25929,그 외 기타 금속 가공업
289202,25923,도장 및 기타 피막 처리업
289205,25924,절삭 가공 및 유사 처리업
289206,25921,금속 열처리업
289207,25922,도금업
289208,25929,그 외 기타 금속 가공업
289301,25933,비동력식 수공구 제조업
289302,25932,일반 철물 제조업
289303,25934,톱 및 호환성 공구 제조업
289304,25931,날붙이 제조업
289305,25932,일반 철물 제조업
289306,25933,비동력식 수공구 제조업
289901,25944,금속선 가공제품 제조업
289902,25991,금속 캔 및 기타 포장용기 제조업
289903,25992,수동식 식품 가공 기기 및 금속 주방용기 제조업
289908,25941,볼트 및 너트류 제조업
289910,25942,그 외 금속 파스너 및 나사제품 제조업
289913,25943,금속 스프링 제조업
289914,25995,피복 및 충전 용접봉 제조업
289915,25999,그 외 기타 분류 안된 금속 가공제품 제조업
289916,25993,금속 위생용품 제조업
289917,25994,금속 표시판 제조업
289918,25999,그 외 기타 분류 안된 금속 가공제품 제조업
291100,29111,내연기관 제조업
291101,29119,기타 기관 및 터빈 제조업
291200,29120,유압 기기 제조업
291201,29131,액체 펌프 제조업
291202,29132,기체 펌프 및 압축기 제조업
291300,29142,기어 및 동력전달장치 제조업
291301,29141,구름베어링 제조업
291401,29150,"산업용 오븐, 노 및 노용 버너 제조업"
291501,29161,산업용 트럭 및 적재기 제조업
291502,29169,기타 물품 취급장비 제조업
291503,29162,승강기 제조업
291504,29163,컨베이어 장치 제조업
291901,29199,그 외 기타 일반목적용 기계 제조업
291902,29171,산업용 냉장 및 냉동장비 제조업
291903,29172,가정용 및 산업용 공기 조화장치 제조업
291903,29173,운송장비용 공기 조화장치 제조업
291904,29174,산업용 송풍기 및 배기장치 제조업
291905,29175,기체 여과기 제조업
291906,29176,액체 여과기 제조업
291907,29177,"증류기, 열 교환기 및 가스 발생기 제조업"
291908,29191,"용기 세척, 포장 및 충전기 제조업"
291909,29192,분사기 및 소화기 제조업
291911,29199,그 외 기타 일반목적용 기계 제조업
292100,29210,농업 및 임업용 기계 제조업
292201,29193,동력식 수지 공구 제조업
292202,29223,금속 절삭기계 제조업
292203,29221,전자 응용 절삭기계 제조업
292204,29229,기타 가공 공작기계 제조업
292205,29222,디지털 적층 성형기계 제조업
292206,29224,금속 성형기계 제조업
292300,29230,금속 주조 및 기타 야금용 기계 제조업
292400,29241,건설 및 채광용 기계장비 제조업
292401,29242,광물 처리 및 취급장비 제조업
292500,29250,음ㆍ식료품 및 담배 가공기계 제조업
292600,29269,"기타 섬유, 의복 및 가죽 가공기계 제조업"
292601,29261,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업"
292700,25200,무기 및 총포탄 제조업
292901,29280,산업용 로봇 제조업
292902,29292,인쇄 및 제책용 기계 제조업
292903,29293,주형 및 금형 제조업
292905,29299,그 외 기타 특수목적용 기계 제조업
292906,29291,"고무, 화학섬유 및 플라스틱 성형기 제조업"
292907,29299,그 외 기타 특수목적용 기계 제조업
292908,29271,반도체 제조용 기계 제조업
292909,29272,디스플레이 제조용 기계 제조업
293001,28511,주방용 전기 기기 제조업
293002,28519,기타 가정용 전기 기기 제조업
293004,28520,가정용 비전기식 조리 및 난방 기구 제조업
293005,28512,가정용 전기 난방기기 제조업
300100,26310,컴퓨터 제조업
300101,26329,기타 주변 기기 제조업
300102,26321,기억 장치 제조업
300103,26322,컴퓨터 모니터 제조업
300104,26323,컴퓨터 프린터 제조업
300201,29180,사무용 기계 및 장비 제조업
300202,29180,사무용 기계 및 장비 제조업
311001,26293,"전자코일, 변성기 및 기타 전자 유도자 제조업"
311002,28111,전동기 및 발전기 제조업
311003,28112,변압기 제조업
311004,28119,기타 전기 변환장치 제조업
311005,28113,에너지 저장장치 제조업
311006,28119,기타 전기 변환장치 제조업
312000,28123,배전반 및 전기 자동제어반 제조업
312001,28121,"전기회로 개폐, 보호 장치 제조업"
312002,28122,전기회로 접속장치 제조업
313001,28302,기타 절연선 및 케이블 제조업
313002,28303,절연 코드세트 및 기타 도체 제조업
313003,28301,광섬유 케이블 제조업
314000,28202,운송장비용 이차전지 제조업
314000,28209,기타 이차전지 제조업
314001,28201,일차전지 제조업
315001,28422,일반용 전기 조명장치 제조업
315002,28423,전시 및 광고용 조명장치 제조업
315003,28410,전구 및 램프 제조업
315005,28429,기타 조명장치 제조업
319001,28421,운송장비용 조명장치 제조업
319002,28909,그 외 기타 전기장비 제조업
319003,28901,전기 경보 및 신호장치 제조업
319004,28902,전기용 탄소제품 및 절연제품 제조업
319005,28903,교통 신호장치 제조업
321000,26129,기타 반도체 소자 제조업
321001,26299,그 외 기타 전자 부품 제조업
321002,26111,메모리용 전자집적회로 제조업
321003,26112,비메모리용 및 기타 전자집적회로 제조업
321004,26121,발광 다이오드 제조업
321005,26211,액정 표시장치 제조업
321006,26212,유기 발광 표시장치 제조업
321007,26219,기타 표시장치 제조업
321008,26221,인쇄회로기판용 적층판 제조업
321009,26222,경성 인쇄회로기판 제조업
321011,26223,연성 및 기타 인쇄회로기판 제조업
321012,26224,전자 부품 실장기판 제조업
321013,26291,전자 축전기 제조업
321014,26292,전자저항기 및 전자카드 제조업
321015,26292,전자저항기 및 전자카드 제조업
321016,26294,전자 감지장치 제조업
322002,26410,유선 통신장비 제조업
322003,26421,방송장비 제조업
322004,26422,이동 전화기 제조업
322005,26429,기타 무선 통신장비 제조업
323001,26519,비디오 및 기타 영상 기기 제조업
323005,26511,텔레비전 제조업
323006,26521,"라디오, 녹음 및 재생 기기 제조업"
323007,26529,기타 음향기기 제조업
331100,27112,전기식 진단 및 요법 기기 제조업
331101,27192,치과기공물 제조업
331101,27193,치과용 임플란트 제조업
331102,27199,그 외 기타 의료용 기기 제조업
331103,27111,방사선 장치 제조업
331104,27191,치과용 기기 제조업
331105,27194,정형 외과용 및 신체 보정용 기기 제조업
331106,27196,의료용 가구 제조업
331201,27213,"물질 검사, 측정 및 분석 기구 제조업"
331203,27211,"레이더, 항행용 무선 기기 및 측량 기구 제조업"
331204,27212,"전자기 측정, 시험 및 분석 기구 제조업"
331205,27214,속도계 및 적산계기 제조업
331206,27215,기기용 자동 측정 및 제어장치 제조업
331207,27219,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업"
331300,27216,산업 처리공정 제어장비 제조업
332000,27195,안경 및 안경렌즈 제조업
332001,27309,기타 광학기기 및 사진기 제조업
332002,27195,안경 및 안경렌즈 제조업
332003,27301,광학 렌즈 및 광학 요소 제조업
332004,27309,기타 광학기기 및 사진기 제조업
333000,27220,시계 및 시계 부품 제조업
341001,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업
341001,30124,전기 화물자동차 및 특수목적용 전기 자동차 제조업
341003,30110,자동차용 엔진 제조업
341004,30121,내연기관 승용차 및 기타 여객용 자동차 제조
341004,30122,전기 승용차 및 기타 여객용 전기 자동차 제조업
342000,30203,트레일러 및 세미 트레일러 제조업
342001,30201,차체 및 특장차 제조업
342002,30202,자동차 구조 및 장치 변경업
343000,30399,그 외 자동차용 신품 부품 제조업
343001,30310,자동차 엔진용 신품 부품 제조업
343002,30320,자동차 차체용 신품 부품 제조업
343003,30331,자동차용 신품 동력 전달장치 제조업
343004,30332,자동차용 신품 전기장치 제조업
343005,30391,자동차용 신품 조향장치 및 현가장치 제조업
343006,30392,자동차용 신품 제동장치 제조업
343007,30400,자동차 재제조 부품 제조업
351101,31111,강선 건조업
351102,31113,기타 선박 건조업
351103,31114,선박 구성 부분품 제조업
351104,38311,금속류 해체 및 선별업
351105,31113,기타 선박 건조업
351106,31112,합성수지선 건조업
351107,31113,기타 선박 건조업
351200,31120,오락 및 스포츠용 보트 건조업
352000,31202,철도 차량 부품 및 관련 장치물 제조업
352001,31201,기관차 및 기타 철도 차량 제조업
353000,31322,항공기용 부품 제조업
353001,31311,"유인 항공기, 항공 우주선 및 보조장치 제조업"
353002,31312,무인 항공기 및 무인 비행장치 제조업
353003,31321,항공기용 엔진 제조업
359100,31921,모터사이클 제조업
359100,31922,개인용 전기식 이동수단 제조업
359200,31991,자전거 및 환자용 차량 제조업
359201,31910,전투용 차량 제조업
