KSIC코드,업종명,레벨,정의,예시,제외
222,플라스틱 제품 제조업,소분류,원료 상태의 플라스틱 재료 및 재생 플라스틱 물질을 사출 가공․처 리하여 각종 형태 및 용도의 플라스틱 성형품 및 플라스틱 가공품을 제조하는 산업활동을 말한다. 이러한 플라스틱 제품은 유리섬유 및,,특정 전문기기를 제조하거나 플라스틱 물질과 다른 물질을 조합하 / 여 조립되는 제품은 그 제품의 종류에 따라 분류 / 1차 플라스틱 제품을 이용한 편조물 및 조물 세공품 제조(16300) / 원료상태의 플라스틱 물질(수지류) 제조(2020) / 덮개를 씌우지 않은 셀룰러 플라스틱 매트리스 제조(320) / 리놀륨 및 경표면 마루덮개 제조(33999) / 재생 플라스틱 수지 및 혼합원료 생산(20203) / 재생 플라스틱 제품 제조용 가공 이차원료 생산(383) / 대분류 C 2221 1차 플라스틱제품 제조업 원료 상태의 플라스틱 물
22211,"플라스틱 선, 봉, 관 및 호스 제조업",세세분류,"원료 상태의 플라스틱 물질을 비발포 성형하여 선, 봉, 관 및 관 연결 구류, 튜브, 호스, 벨트 및 유사제품을 제조하는 산업활동을 말한다.","플라스틱 선, 로드, 스틱, 프로파일, 튜브, 파이프, 호스 및 그 부착 / 물 제조(플라스틱 비발포제) / 플라스틱 물질을 적층 가공한 선, 봉, 관 및 호스 제조",
22212,플라스틱 필름 제조업,세세분류,"원료 상태의 플라스틱 물질을 비발포 성형하여 두께 0.25mm 미만의 연질성, 경질성 플라스틱 필름, 스트립, 포일, 랩 등을 제조하는 산업 활동을 말한다.",폴리에틸렌 필름(PE) 제조 / 폴리프로필렌 필름(PP) 제조 / 폴리염화비닐 필름(PVC) 제조 / 폴리에스터 필름(PET) 제조 / 제 조 업,"벽, 바닥 피복용 플라스틱제품 제조(22221) / 플라스틱 합성피혁 제조(22214) / 구입한 플라스틱 필름을 재료로 접착 플라스틱 테이프 및 필름 등 / 제조(22291)"
22213,플라스틱 시트 및 판 제조업,세세분류,"원료 상태의 플라스틱 물질을 비발포 성형하여 스트립, 시트, 판상의 플라스틱제품을 제조하는 산업활동을 말한다.",플라스틱 시트(0.25mm 이상 연질성 제품) 제조 / 플라스틱 판(0.25mm 이상 경질성 제품) 제조,"벽, 바닥 피복용 플라스틱제품 제조(22221) / 플라스틱 합성피혁 제조(22214) / 구입한 시트 및 판 등을 재료로 만든 접착 플라스틱 제품 등 제조 / (22291)"
22214,플라스틱 합성피혁 제조업,세세분류,섬유 물질 등의 지지물에 플라스틱 물질을 피복 성형하여 플라스틱 합성피혁을 제조하는 산업활동을 말한다.,,섬유물질을 주재료로 하고 플라스틱 물질을 도포하는 경우(13994)
2222,건축용 플라스틱제품 제조업,세분류,"벽, 바닥 및 천장 피복용 제품(롤 또는 타일 상태), 설치용 또는 저장 대분류 C 용 용기 및 위생용품, 문틀 및 기타 구조용 조립 플라스틱제품을 제 조하는 산업활동을 말한다.",,포장용 또는 운반용 플라스틱 용기 제조(2223) / 개인 / 가정 / 식탁 및 주방용 플라스틱 제품 제조(2229) / 1차 형태 플라스틱제품 제조(2221) / 발포 플라스틱제품 제조(2225)
22221,벽 및 바닥 피복용 플라스틱 제품 제조업,세세분류,"원료 상태의 플라스틱 물질을 비발포 성형하여 롤상 또는 타일상 등 의 벽, 천장 및 바닥 피복용 제품(접착성을 가진 제품 포함)을 제조하 는 산업활동을 말한다.",비닐 벽지 제조 / 플라스틱제 타일 제조 / 플라스틱제 벽돌 제조 / 바닥 피복용 플라스틱 제품 제조 / 플라스틱제 바닥깔개,
22222,설치용 및 위생용 플라스틱제품 제조업,세세분류,"플라스틱 물질을 성형하여 설치용 또는 저장용의 목욕통, 배관 조직, 탱크 및 유사용기 등을 성형 제조하는 산업활동을 말한다. 변기용 시","세면기, 화장실용 팬, 분뇨 정화조 제조 / 설치용, 저장용 플라스틱 탱크 및 유사 용기 제조 / 제 조 업","1차형 플라스틱제품을 절단 / 가공 및 조립하여 창틀, 문 제조 제 / (22223) 조 / 플라스틱 선, 봉, 관 및 관 연결구류, 튜브, 호스, 벨트 등 1차 플라 업 / 스틱 제품 제조(2221)"
22223,플라스틱 창호 제조업,세세분류,"1차 형태의 플라스틱 제품을 절단, 접합, 조립 및 기타 방법으로 가공 하여 플라스틱 물질이 주된 재료가 되는 플라스틱 문, 창문, 문틀 등 을 제조하는 산업활동을 말한다.",창문 및 문틀 제조,새시바(sash bar) 등 1차 형태의 건축용 플라스틱 제품 제조(2221)
22229,기타 건축용 플라스틱 조립제품 제조업,세세분류,"1차 형태의 플라스틱 제품을 성형, 절단, 접합, 조립 등의 방법으로 가공하여 플라스틱이 주된 재료가 되는 기타 건축용 조립 구조재를 제조하는 산업활동을 말한다.",플라스틱제 건축 구조재 제조,새시바 등 1차 형태의 건축용 플라스틱제품 제조(2221) / 대분류 C / 플라스틱 창호 제조(22223)
22231,"플라스틱 포대, 봉투 및 유사제품 제조업",세세분류,"플라스틱 필름, 시트, 판 등을 절단․접합하여 상품 포장 또는 운반용 포대, 봉투 및 기타 유사 용기를 제조하는 산업활동을 말한다.",플라스틱 포대 제조 / 플라스틱 봉투 제조,재봉방법에 의한 플라스틱 포대 제조(13225)
22232,포장용 플라스틱 성형용기 제조업,세세분류,"플라스틱 물질을 성형하여 병, 통, 상자 등의 플라스틱 포장용 또는 운반용의 용기, 마개 및 관련제품을 제조하는 산업활동을 말한다.","플라스틱제 운반 및 포장용기 제조 / 플라스틱제 용기 뚜껑, 마개 제조","발포 플라스틱용기 제조(2225) / 설치용 및 위생용 플라스틱 용기 제조(22222) / 필름상의 1차 플라스틱제품을 절단, 접합 가공하여 포대, 봉투 및 / 유사 용기제조(22231)"
2224,기계장비 조립용 플라스틱제품 제조업,세분류,제 조 업,,
22241,운송장비 조립용 플라스틱제품 제조업,세세분류,플라스틱 물질을 성형하여 자동차 및 각종 운송장비 제품의 조립용 구성품 및 내장품을 제조하는 산업활동을 말한다.,"운송장비 조립용 부분품 제조 / 사출 성형품을 추가 가공 및 조립하여 운송장비 조립용 구성품 및 / 부품을 제조하고, 달리 분류되지 않은 경우에는 그 운송장비 제조 업으로 분류 / 기타 기계장비(운송장비 제외) 조립용 플라스틱 부분품 제조 / 공업용 플라스틱제품 제조 / 전기 애자 및 절연용 물품(제품 전체 부분이 플라스틱제인 경우) / 플라스틱제 램프와 조명기구, 조명용 네임 플레이트 및 이와 유사 / 한 제품의 부분품 제조 / 사출 성형품을",운송장비 이외의 기계 및 장비류 조립용 플라스틱제품 제조(22249) / 22249 기타 기계 / 장비 조립용 플라스틱제품 제조업 / 플라스틱 물질을 성형하여 운송장비 조립용 이외의 각종 기계 및 장 비 또는 기타 제품의 조립용 구성품 및 내장품을 제조하는 산업활동 을 말한다. / 건축용 플라스틱 제품 성형 제조(2222) / 발포 플라스틱 제품 제조(2225) / 플라스틱 가구 제조(32099)
22251,폴리스티렌 발포 성형제품 제조업,세세분류,원료 상태의 폴리스티렌 수지에 탄화수소 가스 등을 주입시킨 후 이 를 증기로 부풀린 발포 성형제품을 제조하는 산업활동을 말한다. 폴,스티로폼 제조 / 정형 스티로폼 제품 제조 / EPS(expanded polystyrene) 성형제품 제조 / EPS제 아이스박스 / 부표 제조,플라스틱 합성피혁 제조(22214) / 벽 및 바닥 피복용 플라스틱 제품 제조(22221) / 우레탄 발포 성형제품(우레탄폼) 제조(22259)
22259,기타 플라스틱 발포 성형제품 제조업,세세분류,"원료 상태의 폴리우레탄, 폴리프로필렌 등 플라스틱 물질(폴리스티렌 제외)을 발포 성형하여 판, 관, 용기 등 각종 용도의 발포 성형제품을 제조하는 산업활동을 말한다. 건축용, 포장용, 기계․장비 조립용 등","우레탄 스펀지 제조 / 우레탄 발포 성형제품 제조 업 / 발포 성형한 플라스틱제의 판, 시트 및 스트립 제조(폴리스티렌 발 / 포제품 제외)",스티로폼 제조(22251) / 정형 스티로폼 제품 제조(22251) / 플라스틱 합성피혁 제조(22214) / 벽 및 바닥 피복용 플라스틱 제품 제조(22221)
2229,기타 플라스틱 제품 제조업,세분류,"플라스틱 표면 도포 제품, 개인, 가정, 식탁, 주방용 플라스틱 제품 등 기타 플라스틱 제품을 제조하는 산업활동을 말한다.",,
22291,플라스틱 접착처리 제품 제조업,세세분류,"플라스틱 제품 표면에 접착 물질을 처리한 판, 시트, 필름, 박, 테이프 또는 스트립과 기타 평면 및 롤 형태의 제품을 제조하는 산업활동을 말한다.",접착용 비닐테이프 제조,"플라스틱제 합성피혁 제조(22214) / 감광 또는 자기 물질을 처리하여 음성, 영상 및 기타 현상 기록용 / 대분류 C 매체 제조(26600) / 접착성 있는 플라스틱제 바닥깔개, 벽 및 천장 피복재 제조(22221) / 플라스틱 필름을 제조하고 연관공정으로 접착 처리한 제품 제조 / (22212)"
22292,"플라스틱 적층, 도포 및 기타 표면처리 제품 제조업",세세분류,"플라스틱 제품 표면에 금속 물질 및 기타 물질을 도포, 도장․피복 등을 하여 특수용 플라스틱 표면 가공품을 제조하는 산업활동을 말한 다.",금속 도포 플라스틱 필름 제조 / 표면 도포 플라스틱 시트 및 판재 생산,"플라스틱제 합성피혁 제조(22214) / 감광 또는 자기 물질을 처리하여 음성, 영상 및 기타 현상 기록용 / 매체 제조(26600) / 플라스틱 접착처리 제품 제조(22291)"
