색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
직물 및 편물 원단 정리 가공,13402,"직물, 편조 원단 및 의복류 염색 가공업",세세분류,MED,haeseolseo
직물 및 편조 원단 정리 및 마무리 가공,13409,섬유제품 기타 정리 및 마무리 가공업,세세분류,MED,haeseolseo
직물 절단기 제조,29261,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",세세분류,MED,haeseolseo
직물제 마스크 제조,13229,기타 직물제품 제조업,세세분류,MED,haeseolseo
직물포대 제조,13225,직물포대 제조업,세세분류,MED,haeseolseo
진공 청소기 및 마루 광택기 제조,28519,기타 가정용 전기 기기 제조업,세세분류,MED,haeseolseo
진공 펌프 제조,29132,기체 펌프 및 압축기 제조업,세세분류,MED,haeseolseo
진동검사기 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
"질산, 암모니아, 요소, 황산암모늄, 질산칼륨 제조",2031,비료 및 질소 화합물 제조업,세분류,MED,haeseolseo
질소 관능 화합물 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
질소 화합물 제조,2031,비료 및 질소 화합물 제조업,세분류,MED,haeseolseo
"질소, 아르곤, 네온 가스 제조",20122,"산소, 질소 및 기타 산업용 가스 제조업",세세분류,MED,haeseolseo
질소질 비료 제조,2031,비료 및 질소 화합물 제조업,세분류,MED,haeseolseo
집단급식용 식사 제조,10701,도시락류 제조업,세세분류,MED,haeseolseo
집진기 제조,29175,기체 여과기 제조업,세세분류,MED,haeseolseo
찐 곡물 제조,10519,기타 곡물 가공품 제조업,세세분류,MED,haeseolseo
차 농축물 및 추출물 제조,10892,차류 가공업,세세분류,MED,haeseolseo
차단용 또는 갱도 받침용 지주 및 유사 기구 제조,25113,육상 금속 골조 구조재 제조업,세세분류,MED,haeseolseo
차량용 문짝 제조,30320,자동차 차체용 신품 부품 제조업,세세분류,MED,haeseolseo
차량용 전압 조절기 제조,30332,자동차용 신품 전기장치 제조업,세세분류,MED,haeseolseo
차량용 컨테이너 제조,30203,트레일러 및 세미 트레일러 제조업,세세분류,MED,haeseolseo
차류 조제품 제조,10892,차류 가공업,세세분류,MED,haeseolseo
차원료 생산,38322,비금속류 원료 재생업,세세분류,MED,haeseolseo
"착색 유리, 코팅 유리, 곡유리 제조",23119,기타 판유리 가공품 제조업,세세분류,MED,haeseolseo
착암기 제조,29193,동력식 수지 공구 제조업,세세분류,MED,haeseolseo
착유기 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
착화탄 제조,33992,"라이터, 연소물 및 흡연용품 제조업",세세분류,MED,haeseolseo
"참외, 수박 및 멜론, 딸기, 토마토 등 과일채소 재배",01121,채소작물 재배업,세세분류,MED,haeseolseo
창문 및 문틀 제조,22223,플라스틱 창호 제조업,세세분류,MED,haeseolseo
창문용 투명 무늬지 제조,17903,벽지 및 장판지 제조업,세세분류,MED,haeseolseo
채소 발효주 제조,11119,기타 발효주 제조업,세세분류,MED,haeseolseo
채소 절임식품 제조,10302,과실 및 그 외 채소 절임식품 제조업,세세분류,MED,haeseolseo
"채소, 화초, 과수 묘목 생산",01123,종자 및 묘목 생산업,세세분류,MED,haeseolseo
"채소, 화초, 과수 종자 생산",01123,종자 및 묘목 생산업,세세분류,MED,haeseolseo
처마용 금속 판제품 제조,25112,구조용 금속 판제품 및 공작물 제조업,세세분류,MED,haeseolseo
천공기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
천공카드지 제조,17103,인쇄용 및 필기용 원지 제조업,세세분류,MED,haeseolseo
천연 모피조각 조립품 제조,14200,모피제품 제조업,세세분류,MED,haeseolseo
천연 및 합성고무 혼합물 제조,20201,합성고무 제조업,세세분류,MED,haeseolseo
천연 생수 생산,11202,생수 생산업,세세분류,MED,haeseolseo
천연 식물 보호제 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
천연 코르크 분말 제조,16300,코르크 및 조물 제품 제조업,세세분류,MED,haeseolseo
천연 코르크 제품 제조,16300,코르크 및 조물 제품 제조업,세세분류,MED,haeseolseo
천연 향신재료 분 제조,10832,천연 및 혼합 조제 조미료 제조업,세세분류,MED,haeseolseo
철 및 비합금강 선 제조,24123,철강선 제조업,세세분류,MED,haeseolseo
철강 분말 제조,24119,기타 제철 및 제강업,세세분류,MED,haeseolseo
철강 열간 압연 제품 제조,24121,열간 압연 및 압출제품 제조업,세세분류,MED,haeseolseo
철강 튜브 제조,24132,강관 제조업,세세분류,MED,haeseolseo
철강관 연결구류 제조,24133,강관 가공품 및 관 연결구류 제조업,세세분류,MED,haeseolseo
철강선 제조,24123,철강선 제조업,세세분류,MED,haeseolseo
철골 조립 육상 구조재 제조,25113,육상 금속 골조 구조재 제조업,세세분류,MED,haeseolseo
"철도 차량 대차, 차체, 차륜, 제동장치, 연결장치, 완충장치 제조",31202,철도 차량 부품 및 관련 장치물 제조업,세세분류,MED,haeseolseo
철도 차량 전용 부품 제조,31202,철도 차량 부품 및 관련 장치물 제조업,세세분류,MED,haeseolseo
철도 차량 제조,31201,기관차 및 기타 철도 차량 제조업,세세분류,MED,haeseolseo
철도 차량용 의자 제조,31202,철도 차량 부품 및 관련 장치물 제조업,세세분류,MED,haeseolseo
철도역의 플랫폼에서 사용하는 트랙터 제조,29161,산업용 트럭 및 적재기 제조업,세세분류,MED,haeseolseo
철망 제조기 제조,29224,금속 성형기계 제조업,세세분류,MED,haeseolseo
철망제 발판 제조,25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
철망제품 제조,25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
철선 가공기 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
철판 절곡기 제조,29224,금속 성형기계 제조업,세세분류,MED,haeseolseo
청력 검사용 기구 제조,27112,전기식 진단 및 요법 기기 제조업,세세분류,MED,haeseolseo
청정기 제조,29176,액체 여과기 제조업,세세분류,MED,haeseolseo
체인 톱 제조,29193,동력식 수지 공구 제조업,세세분류,MED,haeseolseo
체조용 링 제조,33301,"체조, 육상 및 체력 단련용 장비 제조업",세세분류,MED,haeseolseo
체조용품 제조,33301,"체조, 육상 및 체력 단련용 장비 제조업",세세분류,MED,haeseolseo
초산 셀룰로오스 섬유 제조,20502,재생 섬유 제조업,세세분류,MED,haeseolseo
초산비닐 중합체 제조,20202,합성수지 및 기타 플라스틱 물질 제조업,세세분류,MED,haeseolseo
초산셀룰로오스 제조,20202,합성수지 및 기타 플라스틱 물질 제조업,세세분류,MED,haeseolseo
초소형 조립회로 제조,2611,전자집적회로 제조업,세분류,MED,haeseolseo
초음파 세척기 제조,28909,그 외 기타 전기장비 제조업,세세분류,MED,haeseolseo
초콜릿 및 초콜릿과자 제조,10603,과자류 및 코코아 제품 제조업,세세분류,MED,haeseolseo
추 구동식 모터 제조,29119,기타 기관 및 터빈 제조업,세세분류,MED,haeseolseo
충격 검사기 제조,27213,"물질 검사, 측정 및 분석 기구 제조업",세세분류,MED,haeseolseo
충전솜을 넣어 누빈 섬유제품 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
"취미, 오락용 무인 항공기 제조",33401,인형 및 장난감 제조업,세세분류,MED,haeseolseo
측정용 눈금자 제조,27219,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",세세분류,MED,haeseolseo
치과용 드릴 제조,27191,치과용 기기 제조업,세세분류,MED,haeseolseo
"치과용 시멘트, 충전제 및 뼈 성형용 시멘트 제조",21309,그 외 기타 의료용품 및 의약 관련제품 제조업,세세분류,MED,haeseolseo
치과용 유니트 제조,27191,치과용 기기 제조업,세세분류,MED,haeseolseo
치과용 의자 제조,27196,의료용 가구 제조업,세세분류,MED,haeseolseo
치석 제거기 제조,27191,치과용 기기 제조업,세세분류,MED,haeseolseo
침대겸용 의자 제조,32019,소파 및 기타 내장 가구 제조업,세세분류,MED,haeseolseo
칩내장 카드 제조,26292,전자저항기 및 전자카드 제조업,세세분류,MED,haeseolseo
칩보드 제조,16212,강화 및 재생 목재 제조업,세세분류,MED,haeseolseo
카본블랙 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
카본지 절단품 제조,17901,문구용 종이제품 제조업,세세분류,MED,haeseolseo
카세인염과 카세인 유도체 제조,20493,접착제 및 젤라틴 제조업,세세분류,MED,haeseolseo
카세트 제조,26521,"라디오, 녹음 및 재생 기기 제조업",세세분류,MED,haeseolseo
카스터 제조,25932,일반 철물 제조업,세세분류,MED,haeseolseo
카오린 또는 기타 무기질을 도포한 종이 및 판지 제조,17904,"적층, 합성 및 특수 표면처리 종이 제조업",세세분류,MED,haeseolseo
카지노 게임용 테이블 제조,33409,기타 오락용품 제조업,세세분류,MED,haeseolseo
카페인 제거 커피 생산,10891,커피 가공업,세세분류,MED,haeseolseo
칸막이 및 관련 제품 제조,17211,골판지 제조업,세세분류,MED,haeseolseo
칼 및 칼날 제조,25931,날붙이 제조업,세세분류,MED,haeseolseo
칼리질 비료 제조,2031,비료 및 질소 화합물 제조업,세분류,MED,haeseolseo
캐러멜과자 제조,10603,과자류 및 코코아 제품 제조업,세세분류,MED,haeseolseo
캐러멜당 제조,10839,기타 식품 첨가물 제조업,세세분류,MED,haeseolseo
캐스터네츠 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
캐주얼화 제조,15211,구두류 제조업,세세분류,MED,haeseolseo
캔 및 병 개폐기 제조,25992,수동식 식품 가공 기기 및 금속 주방용기 제조업,세세분류,MED,haeseolseo
"캔버스, 버크럼 제조",13994,표면처리 및 적층 직물 제조업,세세분류,MED,haeseolseo
캔차류 제조,11209,기타 비알코올 음료 제조업,세세분류,MED,haeseolseo
캔커피 제조,11209,기타 비알코올 음료 제조업,세세분류,MED,haeseolseo
캘리퍼스 제조,27219,"기타 측정, 시험, 항해, 제어 및 정밀 기기 제조업",세세분류,MED,haeseolseo
캘린더기 제조,29199,그 외 기타 일반목적용 기계 제조업,세세분류,MED,haeseolseo
캠핑용 직물제품 제조,13224,"천막, 텐트 및 유사 제품 제조업",세세분류,MED,haeseolseo
캡스턴 제조,29169,기타 물품 취급장비 제조업,세세분류,MED,haeseolseo
커프링크 제조,33991,단추 및 유사 파스너 제조업,세세분류,MED,haeseolseo
커피 농축물 생산,10891,커피 가공업,세세분류,MED,haeseolseo
커피 대용품 제조,10891,커피 가공업,세세분류,MED,haeseolseo
커피크리머 제조,10839,기타 식품 첨가물 제조업,세세분류,MED,haeseolseo
컨버터 제조,28119,기타 전기 변환장치 제조업,세세분류,MED,haeseolseo
컨베이어 장치 제조,29163,컨베이어 장치 제조업,세세분류,MED,haeseolseo
컨베이어 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
"컬 핀, 컬 크립 등 미용 도구 제조",33999,그 외 기타 달리 분류되지 않은 제품 제조업,세세분류,MED,haeseolseo
컴퓨터 중앙 자료처리 장치 제조,26310,컴퓨터 제조업,세세분류,MED,haeseolseo
컴퓨터용 모뎀 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
컴퓨터용 자판 제조,26329,기타 주변 기기 제조업,세세분류,MED,haeseolseo
케이크 제조,10602,빵류 제조업,세세분류,MED,haeseolseo
케피어 제조,10421,액상 시유 및 기타 낙농제품 제조업,세세분류,MED,haeseolseo
코드 세트 제조,28303,절연 코드세트 및 기타 도체 제조업,세세분류,MED,haeseolseo
코르셋 제조,14120,속옷 및 잠옷 제조업,세세분류,MED,haeseolseo
코르크 가공기계 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
코이어사 제조,13109,기타 방적업,세세분류,MED,haeseolseo
코이어직물 직조,13219,특수직물 및 기타 직물 직조업,세세분류,MED,haeseolseo
코일 가공기 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
코일형 금속 스프링 제조,25943,금속 스프링 제조업,세세분류,MED,haeseolseo
코코아 버터 제조,10603,과자류 및 코코아 제품 제조업,세세분류,MED,haeseolseo
코코아 분말 제조,10603,과자류 및 코코아 제품 제조업,세세분류,MED,haeseolseo
코코아 유지 제조,10603,과자류 및 코코아 제품 제조업,세세분류,MED,haeseolseo
코코아 재배,01132,음료용 및 향신용 작물 재배업,세세분류,MED,haeseolseo
코크스로 미정제 가스 제조,19100,코크스 및 연탄 제조업,세세분류,MED,haeseolseo
콕킹 화합물 제조,20411,일반용 도료 및 관련제품 제조업,세세분류,MED,haeseolseo
콘덴서용 가공지 제조,17904,"적층, 합성 및 특수 표면처리 종이 제조업",세세분류,MED,haeseolseo
콘덴서지 제조,17109,기타 종이 및 판지 제조업,세세분류,MED,haeseolseo
콘돔 및 피임용품 제조,22193,고무 의류 및 기타 위생용 비경화 고무제품 제조업,세세분류,MED,haeseolseo
콘크리트 가공기계 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
"콘크리트 문틀, 문지방, 벽판 등 건축물 구조재 제조",23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,세세분류,MED,haeseolseo
콘크리트 믹서 운반차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
콘크리트 믹서 운반차 특장 제조,30201,차체 및 특장차 제조업,세세분류,MED,haeseolseo
콘크리트 및 모르타르 믹서기 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
"콘크리트 빔 및 대들보, 파일, 전주, 철도 침목 제조",23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,세세분류,MED,haeseolseo
"콘크리트 욕조, 세면대 및 기타 설치용 위생용품 제조",23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,세세분류,MED,haeseolseo
콘크리트 인조목 제조,23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,세세분류,MED,haeseolseo
콘크리트 제품용 주형 제조,29293,주형 및 금형 제조업,세세분류,MED,haeseolseo
콘크리트 조립식 건축자재 제조,23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,세세분류,MED,haeseolseo
"콘크리트 타일, 기와, 벽돌, 블록 제조",23324,"콘크리트 타일, 기와, 벽돌 및 블록 제조업",세세분류,MED,haeseolseo
콘크리트 펌프 제조,29131,액체 펌프 제조업,세세분류,MED,haeseolseo
콘크리트용 비광물성 접착제 및 모래혼합물 제조,23321,비내화 모르타르 제조업,세세분류,MED,haeseolseo
콘크리트용 철망 제조,25944,금속선 가공제품 제조업,세세분류,MED,haeseolseo
콘크리트제 받침대 제조,23325,콘크리트 관 및 기타 구조용 콘크리트제품 제조업,세세분류,MED,haeseolseo
콘택트렌즈 세정액 제조,20423,화장품 제조업,세세분류,MED,haeseolseo
콘플레이크 제조,10519,기타 곡물 가공품 제조업,세세분류,MED,haeseolseo
콜로이드 흑연 제조,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,세세분류,MED,haeseolseo
콤바인 및 탈곡기 제조,29210,농업 및 임업용 기계 제조업,세세분류,MED,haeseolseo
콩나물 재배,01159,기타 시설작물 재배업,세세분류,MED,haeseolseo
쾌속 조형장비 제조,29222,디지털 적층 성형기계 제조업,세세분류,MED,haeseolseo
쿠션 및 베개 제조,22199,그 외 기타 고무제품 제조업,세세분류,MED,haeseolseo
퀴논이민 염료 제조,20132,"염료, 조제 무기 안료, 유연제 및 기타 착색제 제조업",세세분류,MED,haeseolseo
크랭크 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
"크레용, 파스텔 제조",33920,사무 및 회화용품 제조업,세세분류,MED,haeseolseo
크롬 합금철 제조,24113,합금철 제조업,세세분류,MED,haeseolseo
크리스마스 장식용 조명 세트 제조,28423,전시 및 광고용 조명장치 제조업,세세분류,MED,haeseolseo
크림 분리기 제조,29242,광물 처리 및 취급장비 제조업,세세분류,MED,haeseolseo
크립톤 가스 제조,20122,"산소, 질소 및 기타 산업용 가스 제조업",세세분류,MED,haeseolseo
크세논 가스 제조,20122,"산소, 질소 및 기타 산업용 가스 제조업",세세분류,MED,haeseolseo
클라이밍 로프 제조,33301,"체조, 육상 및 체력 단련용 장비 제조업",세세분류,MED,haeseolseo
클러치 및 부분품 제조,30331,자동차용 신품 동력 전달장치 제조업,세세분류,MED,haeseolseo
클러치 제조,29142,기어 및 동력전달장치 제조업,세세분류,MED,haeseolseo
클로로프렌고무 제조,20201,합성고무 제조업,세세분류,MED,haeseolseo
키위 및 망고스틴 재배,01131,과실작물 재배업,세세분류,MED,haeseolseo
키토산 제조,10897,건강 기능식품 제조업,세세분류,MED,haeseolseo
킨스 시멘트 제조,23312,석회 및 플라스터 제조업,세세분류,MED,haeseolseo
타르 피치 등을 주요 재료로 제조한 도로포장용 혼합물 제조,23991,아스팔트 콘크리트 및 혼합제품 제조업,세세분류,MED,haeseolseo
타악기 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
"타워 크레인, 주행 크레인 제조",29169,기타 물품 취급장비 제조업,세세분류,MED,haeseolseo
타이어 트레드 고무 제조,22110,고무 타이어 및 튜브 제조업,세세분류,MED,haeseolseo
타이어코드 직물 제조,13993,특수사 및 코드직물 제조업,세세분류,MED,haeseolseo
타임 스위치 제조,27220,시계 및 시계 부품 제조업,세세분류,MED,haeseolseo
타자기 제조,29180,사무용 기계 및 장비 제조업,세세분류,MED,haeseolseo
타포린 직물 제조,13994,표면처리 및 적층 직물 제조업,세세분류,MED,haeseolseo
타포린직물 직조,13219,특수직물 및 기타 직물 직조업,세세분류,MED,haeseolseo
타피아 제조,11129,기타 증류주 및 합성주 제조업,세세분류,MED,haeseolseo
타피오카 제조,10520,전분제품 및 당류 제조업,세세분류,MED,haeseolseo
탁구용 기구 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
탁상용 PC 제조,26310,컴퓨터 제조업,세세분류,MED,haeseolseo
탄성 세폭직물 직조,13991,세폭직물 제조업,세세분류,MED,haeseolseo
탄성 편조물 제조,14419,기타 편조 의복 액세서리 제조업,세세분류,MED,haeseolseo
탄소물 조제품 제조,23999,그 외 기타 분류 안된 비금속 광물제품 제조업,세세분류,MED,haeseolseo
탄소섬유 제조,23995,탄소섬유 제조업,세세분류,MED,haeseolseo
탄화수소 방향족 화합물 제조,20111,석유화학계 기초 화학 물질 제조업,세세분류,MED,haeseolseo
탄화수소 유황화 유도체 제조,20111,석유화학계 기초 화학 물질 제조업,세세분류,MED,haeseolseo
탄화수소 지방족 화합물 제조,20111,석유화학계 기초 화학 물질 제조업,세세분류,MED,haeseolseo
탄화수소 질산화 유도체 제조,20111,석유화학계 기초 화학 물질 제조업,세세분류,MED,haeseolseo
탄화수소 할로겐화 유도체 제조,20111,석유화학계 기초 화학 물질 제조업,세세분류,MED,haeseolseo
탄화칼슘 및 탄화물 제조,20129,기타 기초 무기화학 물질 제조업,세세분류,MED,haeseolseo
"탈지면, 창상 등 의료용 피복재, 습포제 제조",21309,그 외 기타 의료용품 및 의약 관련제품 제조업,세세분류,MED,haeseolseo
탈지유 제조,10421,액상 시유 및 기타 낙농제품 제조업,세세분류,MED,haeseolseo
탐사 및 지도 제작업,72922,제도업,세세분류,MED,haeseolseo
탑 조립 구조재 제조,25113,육상 금속 골조 구조재 제조업,세세분류,MED,haeseolseo
태양광 발전장치 제조,28111,전동기 및 발전기 제조업,세세분류,MED,haeseolseo
태양열 집열 및 가열장치 제조,29150,"산업용 오븐, 노 및 노용 버너 제조업",세세분류,MED,haeseolseo
태피스트리 제조,13222,자수제품 및 자수용 재료 제조업,세세분류,MED,haeseolseo
택시 미터기 제조,27214,속도계 및 적산계기 제조업,세세분류,MED,haeseolseo
탬버린 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
탬핑머신 제조,29241,건설 및 채광용 기계장비 제조업,세세분류,MED,haeseolseo
탭핑용 공작기계 제조,29223,금속 절삭기계 제조업,세세분류,MED,haeseolseo
터닝 처리한 형상 등) 및 그 제품 제조,33932,전시용 모형 제조업,세세분류,MED,haeseolseo
터보 제트기관 제조,31321,항공기용 엔진 제조업,세세분류,MED,haeseolseo
텅스텐 제조,20131,무기 안료용 금속 산화물 및 관련 제품 제조업,세세분류,MED,haeseolseo
텅스텐 합금철 제조,24113,합금철 제조업,세세분류,MED,haeseolseo
테이블 게임용 기계 및 기구 제조,33409,기타 오락용품 제조업,세세분류,MED,haeseolseo
테이블 린넨 제조,13999,그 외 기타 분류 안된 섬유제품 제조업,세세분류,MED,haeseolseo
테트라사이크린계 항생 물질 제조,21100,기초 의약 물질 제조업,세세분류,MED,haeseolseo
텍스처드 가공사 제조,13104,연사 및 가공사 제조업,세세분류,MED,haeseolseo
텐터기 제조,29261,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업",세세분류,MED,haeseolseo
텔레 프린터 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
텔레비전 쇼 제작,59114,방송 프로그램 제작업,세세분류,MED,haeseolseo
텔레비전용 광고물 제작,59113,광고 영화 및 비디오물 제작업,세세분류,MED,haeseolseo
텔레비전용 음극선관 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
텔레비전용 촬상관 제조,26299,그 외 기타 전자 부품 제조업,세세분류,MED,haeseolseo
"토끼, 개 및 사슴 사육",01299,그 외 기타 축산업,세세분류,MED,haeseolseo
토지 측량기 제조,27211,"레이더, 항행용 무선 기기 및 측량 기구 제조업",세세분류,MED,haeseolseo
토질개량용 토사석 조제품 제조,20313,유기질 비료 및 상토 제조업,세세분류,MED,haeseolseo
토탄 증류 타르 제조,19100,코크스 및 연탄 제조업,세세분류,MED,haeseolseo
톱 및 톱날 제조,25934,톱 및 호환성 공구 제조업,세세분류,MED,haeseolseo
투명 광택지 제조,17109,기타 종이 및 판지 제조업,세세분류,MED,haeseolseo
투사지 제조,17109,기타 종이 및 판지 제조업,세세분류,MED,haeseolseo
투사포 제조,13994,표면처리 및 적층 직물 제조업,세세분류,MED,haeseolseo
툴홀더 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
튀김 곡물 제조,10519,기타 곡물 가공품 제조업,세세분류,MED,haeseolseo
튀김과자 제조,10603,과자류 및 코코아 제품 제조업,세세분류,MED,haeseolseo
튜브와 파이프 제조,23211,정형 내화 요업제품 제조업,세세분류,MED,haeseolseo
"트, 개질 아스팔트 제조",19229,기타 석유 정제물 재처리업,세세분류,MED,haeseolseo
트럼펫 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
트렁크 제조,15129,가방 및 기타 보호용 케이스 제조업,세세분류,MED,haeseolseo
트레일러 부분품 제조,30203,트레일러 및 세미 트레일러 제조업,세세분류,MED,haeseolseo
트레일러 제조,30203,트레일러 및 세미 트레일러 제조업,세세분류,MED,haeseolseo
트롬본 제조,33209,기타 악기 및 전자 악기 제조업,세세분류,MED,haeseolseo
특수 목적용 승용차 제조,30121,내연기관 승용차 및 기타 여객용 자동차 제조,세세분류,MED,haeseolseo
특수 목적용 신발 제조,15219,기타 신발 제조업,세세분류,MED,haeseolseo
특수 목적용 자동차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
특수 목적용 전기 승용차 제조,30122,전기 승용차 및 기타 여객용 전기 자동차 제조업,세세분류,MED,haeseolseo
특수 목적용 전기 자동차 제조,30124,전기 화물자동차 및 특수목적용 전기 자동차 제조업,세세분류,MED,haeseolseo
특수 박엽지 제조,17109,기타 종이 및 판지 제조업,세세분류,MED,haeseolseo
특수 운송차량 특장 제조,30201,차체 및 특장차 제조업,세세분류,MED,haeseolseo
특수목적용 차량 특장 제조,30201,차체 및 특장차 제조업,세세분류,MED,haeseolseo
특수환자용 의복 제조,14199,그 외 기타 봉제의복 제조업,세세분류,MED,haeseolseo
티타늄 제조,20131,무기 안료용 금속 산화물 및 관련 제품 제조업,세세분류,MED,haeseolseo
파 및 양파 재배,01121,채소작물 재배업,세세분류,MED,haeseolseo
파워 윈도우 시스템 제조,30332,자동차용 신품 전기장치 제조업,세세분류,MED,haeseolseo
파워팩 제조,28119,기타 전기 변환장치 제조업,세세분류,MED,haeseolseo
파이버보드 제조,16212,강화 및 재생 목재 제조업,세세분류,MED,haeseolseo
파이버보드 제조용 프레스기 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
"파일, 셔닐, 테리, 거즈, 터프티드 직물 직조",13219,특수직물 및 기타 직물 직조업,세세분류,MED,haeseolseo
파케이 패널 제조,16229,기타 건축용 나무제품 제조업,세세분류,MED,haeseolseo
파티클보드 제조,16212,강화 및 재생 목재 제조업,세세분류,MED,haeseolseo
파티클보드 제조용 프레스기 제조,29229,기타 가공 공작기계 제조업,세세분류,MED,haeseolseo
"판, 시트, 대 및 박 제조",24229,"기타 비철금속 압연, 압출 및 연신제품 제조업",세세분류,MED,haeseolseo
판지 제조 및 가공기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
판지제 실패 및 유사 지지물 제조,17909,그 외 기타 종이 및 판지 제품 제조업,세세분류,MED,haeseolseo
패러글라이딩 제조,31311,"유인 항공기, 항공 우주선 및 보조장치 제조업",세세분류,MED,haeseolseo
팽창 펄라이트 제조,23994,암면 및 유사 제품 제조업,세세분류,MED,haeseolseo
펀칭기 제조,29224,금속 성형기계 제조업,세세분류,MED,haeseolseo
펄프 제조 및 가공기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
펄프제 필터 블록 및 슬래브 제조,17909,그 외 기타 종이 및 판지 제품 제조업,세세분류,MED,haeseolseo
페넌트 제조,13229,기타 직물제품 제조업,세세분류,MED,haeseolseo
페놀 및 그 유도체 제조,20119,기타 기초 유기 화학물질 제조업,세세분류,MED,haeseolseo
페놀 인쇄배선기판 제조,26222,경성 인쇄회로기판 제조업,세세분류,MED,haeseolseo
페놀수지 제조,20202,합성수지 및 기타 플라스틱 물질 제조업,세세분류,MED,haeseolseo
페리 보트 제조,31111,강선 건조업,세세분류,MED,haeseolseo
페어케이블 반송장치 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
페이턴트 가죽 제조,15110,모피 및 가죽 제조업,세세분류,MED,haeseolseo
페인트 및 도료 제거제 제조,20411,일반용 도료 및 관련제품 제조업,세세분류,MED,haeseolseo
페인트 및 바니시 제조,20411,일반용 도료 및 관련제품 제조업,세세분류,MED,haeseolseo
페인트용 롤러 제조,33993,비 및 솔 제조업,세세분류,MED,haeseolseo
페인트용 스퀴지 제조,33993,비 및 솔 제조업,세세분류,MED,haeseolseo
페인트용 패드 제조,33993,비 및 솔 제조업,세세분류,MED,haeseolseo
펜싱용구 제조,33309,기타 운동 및 경기용구 제조업,세세분류,MED,haeseolseo
펠트지와 판지 제조,17109,기타 종이 및 판지 제조업,세세분류,MED,haeseolseo
편광재료제의 판 제조,27301,광학 렌즈 및 광학 요소 제조업,세세분류,MED,haeseolseo
편물사 제조,13104,연사 및 가공사 제조업,세세분류,MED,haeseolseo
편조기 및 직조기 제조,29269,"기타 섬유, 의복 및 가죽 가공기계 제조업",세세분류,MED,haeseolseo
"평면, 곡면 스크린 인쇄",18112,스크린 인쇄업,세세분류,MED,haeseolseo
폐기물 소각로 제조,29150,"산업용 오븐, 노 및 노용 버너 제조업",세세분류,MED,haeseolseo
폐기물 처리 기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
폐수 처리장치 제조,29176,액체 여과기 제조업,세세분류,MED,haeseolseo
"폐식용유, 폐유지 화학처리를 통한 이차원료 생산",38322,비금속류 원료 재생업,세세분류,MED,haeseolseo
폐타이어를 이용한 고무 분말 생산,38322,비금속류 원료 재생업,세세분류,MED,haeseolseo
