색인어,KSIC코드,KSIC명,레벨,신뢰도,출처
광학 천체 관측용 기 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
광학 현미경 제조,27309,기타 광학기기 및 사진기 제조업,세세분류,MED,haeseolseo
광학식 내시경 제조,27199,그 외 기타 의료용 기기 제조업,세세분류,MED,haeseolseo
광학용품 제조,27301,광학 렌즈 및 광학 요소 제조업,세세분류,MED,haeseolseo
교량 조립 구조재 제조,25113,육상 금속 골조 구조재 제조업,세세분류,MED,haeseolseo
교류 및 직류 드라이브 제조,28123,배전반 및 전기 자동제어반 제조업,세세분류,MED,haeseolseo
교반기 제조,29299,그 외 기타 특수목적용 기계 제조업,세세분류,MED,haeseolseo
교육용 비디오물 제작,59111,일반 영화 및 비디오물 제작업,세세분류,MED,haeseolseo
교통 시각 신호장치 제조,28903,교통 신호장치 제조업,세세분류,MED,haeseolseo
교통 안전 표시 금속판 제조,25994,금속 표시판 제조업,세세분류,MED,haeseolseo
교통 음향 신호장치 제조,28903,교통 신호장치 제조업,세세분류,MED,haeseolseo
교통 지도 제작,72922,제도업,세세분류,MED,haeseolseo
교통 통제용 전기장치 제조,28903,교통 신호장치 제조업,세세분류,MED,haeseolseo
교통 표지 금속판 제조,25994,금속 표시판 제조업,세세분류,MED,haeseolseo
교환기 제조,26410,유선 통신장비 제조업,세세분류,MED,haeseolseo
구강 세척제 제조,20423,화장품 제조업,세세분류,MED,haeseolseo
구강 위생용품 제조,20423,화장품 제조업,세세분류,MED,haeseolseo
구급차 제조,30121,내연기관 승용차 및 기타 여객용 자동차 제조,세세분류,MED,haeseolseo
구난차 제조,30123,내연기관 화물자동차 및 특수목적용 자동차 제조업,세세분류,MED,haeseolseo
구동 차축 제조,30331,자동차용 신품 동력 전달장치 제조업,세세분류,MED,haeseolseo
구명 보트 제조,31111,강선 건조업,세세분류,MED,haeseolseo
구명벨트 제조,13229,기타 직물제품 제조업,세세분류,MED,haeseolseo
구명정 제조,31120,오락 및 스포츠용 보트 건조업,세세분류,MED,haeseolseo
