국세청_업종코드,국세청_대분류코드,국세청_대분류명,국세청_중분류코드,국세청_중분류명,국세청_소분류코드,국세청_소분류명,국세청_세분류코드,국세청_세분류명,국세청_세세분류명,KSIC_코드,KSIC_대분류코드,KSIC_대분류명,KSIC_중분류코드,KSIC_중분류명,KSIC_소분류코드,KSIC_소분류명,KSIC_세분류코드,KSIC_세분류명,KSIC_세세분류명,embedding_text
142910,B,광업,14,광업 지원 서비스업,142,광업 지원 서비스업,1429,광업 지원 서비스업,광업 지원 서비스업,08000,B,광업,08,광업 지원 서비스업,080,광업 지원 서비스업,0800,광업 지원 서비스업,광업 지원 서비스업,광업 > 광업 지원 서비스업
143101,B,광업,14,금속 광업,143,비철금속 광업,1431,비철금속 광업,비철금속 광업(조광권자),06200,B,광업,06,금속 광업,062,비철금속 광업,0620,비철금속 광업,비철금속 광업,광업 > 금속 광업 > 비철금속 광업 > 비철금속 광업(조광권자)
143103,B,광업,14,금속 광업,143,철 광업,1431,철 광업,철 광업(조광권자),06100,B,광업,06,금속 광업,061,철 광업,0610,철 광업,철 광업,광업 > 금속 광업 > 철 광업 > 철 광업(조광권자)
143106,B,광업,14,"석탄, 원유 및 천연가스 광업",143,석탄 광업,1431,석탄 광업,석탄 광업(조광권자),05100,B,광업,05,"석탄, 원유 및 천연가스 광업",051,석탄 광업,0510,석탄 광업,석탄 광업,"광업 > 석탄, 원유 및 천연가스 광업 > 석탄 광업 > 석탄 광업(조광권자)"
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,석회석 및 점토 광업,석회석 및 점토 광업,07110,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0711,석회석 및 점토 광업,석회석 및 점토 광업,광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석회석 및 점토 광업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,07121,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",건설용 석재 채굴 및 쇄석 생산업,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업 > 건설용 석재 채굴 및 쇄석 생산업"
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,토사석 광업,1431,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,07122,B,광업,07,비금속광물 광업; 연료용 제외,071,토사석 광업,0712,"석재, 쇄석 및 모래, 자갈 채취업",모래 및 자갈 채취업,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업 > 모래 및 자갈 채취업"
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,기타 비금속광물 광업,1431,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,07210,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0721,화학용 및 비료 원료용 광물 광업,화학용 및 비료 원료용 광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 화학용 및 비료 원료용 광물 광업
143107,B,광업,14,비금속광물 광업; 연료용 제외,143,기타 비금속광물 광업,1431,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,07290,B,광업,07,비금속광물 광업; 연료용 제외,072,기타 비금속광물 광업,0729,그 외 기타 비금속광물 광업,그 외 기타 비금속광물 광업,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 그 외 기타 비금속광물 광업
143200,N,"사업시설 관리, 사업 지원 및 임대 서비스업",14,임대업; 부동산 제외,143,무형 재산권 임대업,1432,무형 재산권 임대업,무형 재산권 임대업,76400,N,"사업시설 관리, 사업 지원 및 임대 서비스업",76,임대업; 부동산 제외,764,무형 재산권 임대업,7640,무형 재산권 임대업,무형 재산권 임대업,"사업시설 관리, 사업 지원 및 임대 서비스업 > 임대업; 부동산 제외 > 무형 재산권 임대업"
151101,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,도축업,육류 도축업(가금류 제외),10111,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1011,도축업,육류 도축업(가금류 제외),"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 도축업 > 육류 도축업(가금류 제외)"
151102,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업,10121,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,가금류 가공 및 저장 처리업,"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 육류 가공 및 저장 처리업 > 가금류 가공 및 저장 처리업"
151103,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,도축업,가금류 도축업,10112,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1011,도축업,가금류 도축업,"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 도축업 > 가금류 도축업"
151104,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외),10122,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,육류 포장육 및 냉동육 가공업(가금류 제외),"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 육류 가공 및 저장 처리업 > 육류 포장육 및 냉동육 가공업(가금류 제외)"
151105,C,제조업,15,식료품 제조업,151,"도축, 육류 가공 및 저장 처리업",1511,육류 가공 및 저장 처리업,육류 기타 가공 및 저장 처리업(가금류 제외),10129,C,제조업,10,식료품 제조업,101,"도축, 육류 가공 및 저장 처리업",1012,육류 가공 및 저장 처리업,육류 기타 가공 및 저장 처리업(가금류 제외),"제조업 > 식료품 제조업 > 도축, 육류 가공 및 저장 처리업 > 육류 가공 및 저장 처리업 > 육류 기타 가공 및 저장 처리업(가금류 제외)"
151200,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업,10212,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,수산동물 건조 및 염장품 제조업,제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산동물 가공 및 저장 처리업 > 수산동물 건조 및 염장품 제조업
151201,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,"수산동물 훈제, 조리 및 유사 조제식품 제조업",10211,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,"수산동물 훈제, 조리 및 유사 조제식품 제조업","제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산동물 가공 및 저장 처리업 > 수산동물 훈제, 조리 및 유사 조제식품 제조업"
151202,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업,10213,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,수산동물 냉동품 제조업,제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산동물 가공 및 저장 처리업 > 수산동물 냉동품 제조업
151203,C,제조업,15,식료품 제조업,151,수산물 가공 및 저장 처리업,1512,수산동물 가공 및 저장 처리업,기타 수산동물 가공 및 저장 처리업,10219,C,제조업,10,식료품 제조업,102,수산물 가공 및 저장 처리업,1021,수산동물 가공 및 저장 처리업,기타 수산동물 가공 및 저장 처리업,제조업 > 식료품 제조업 > 수산물 가공 및 저장 처리업 > 수산동물 가공 및 저장 처리업 > 기타 수산동물 가공 및 저장 처리업
