doc_id,business_code,doc_type,doc_text
131003__example1,131003,example,귀금속 채굴 및 정광
131003__example2,131003,example,배금광석 채굴 및 정광
131003__example3,131003,example,사금 채취
131003__example4,131003,example,연(납)광석 채굴 및 정광
131003__example5,131003,example,아연광석 채굴 및 정광
131003__example6,131003,example,동광석 채굴 및 정광
131003__example7,131003,example,텅스텐광 채굴
131003__example8,131003,example,주석 및 알루미늄광석 채굴
131003__example9,131003,example,망가니즈 및 니켈광석 채굴
131003__example10,131003,example,"중석(흑중석, 회중석 등)광 채굴"
131003__example11,131003,example,수은 및 바나듐광석 채굴
131003__example12,131003,example,몰리브덴광석 채굴
131003__example13,131003,example,크롬광석 채굴
131003__example14,131003,example,티타늄광석 채굴
131003__example15,131003,example,지르코늄광석 채굴
131003__example16,131003,example,탄탈륨광석 채굴
131003__example17,131003,example,코발트광석 채굴
131003__example18,131003,example,안티몬광석 채굴
132002__name0,132002,name,비철금속 광업
132002__hier0,132002,hier,광업 > 금속 광업 > 비철금속 광업 > 비철금속 광업
132002__desc0,132002,desc,기타 비철금속
132002__example0,132002,example,우라늄 및 토륨광 채굴
132002__example1,132002,example,귀금속 채굴 및 정광
132002__example2,132002,example,배금광석 채굴 및 정광
132002__example3,132002,example,사금 채취
132002__example4,132002,example,연(납)광석 채굴 및 정광
132002__example5,132002,example,아연광석 채굴 및 정광
132002__example6,132002,example,동광석 채굴 및 정광
132002__example7,132002,example,텅스텐광 채굴
132002__example8,132002,example,주석 및 알루미늄광석 채굴
132002__example9,132002,example,망가니즈 및 니켈광석 채굴
132002__example10,132002,example,"중석(흑중석, 회중석 등)광 채굴"
132002__example11,132002,example,수은 및 바나듐광석 채굴
132002__example12,132002,example,몰리브덴광석 채굴
132002__example13,132002,example,크롬광석 채굴
132002__example14,132002,example,티타늄광석 채굴
132002__example15,132002,example,지르코늄광석 채굴
132002__example16,132002,example,탄탈륨광석 채굴
132002__example17,132002,example,코발트광석 채굴
132002__example18,132002,example,안티몬광석 채굴
132003__name0,132003,name,비철금속 광업
132003__hier0,132003,hier,광업 > 금속 광업 > 비철금속 광업 > 비철금속 광업
132003__desc0,132003,desc,"금ㆍ은 및 백금, 동광석"
132003__example0,132003,example,우라늄 및 토륨광 채굴
132003__example1,132003,example,귀금속 채굴 및 정광
132003__example2,132003,example,배금광석 채굴 및 정광
132003__example3,132003,example,사금 채취
132003__example4,132003,example,연(납)광석 채굴 및 정광
132003__example5,132003,example,아연광석 채굴 및 정광
132003__example6,132003,example,동광석 채굴 및 정광
132003__example7,132003,example,텅스텐광 채굴
132003__example8,132003,example,주석 및 알루미늄광석 채굴
132003__example9,132003,example,망가니즈 및 니켈광석 채굴
132003__example10,132003,example,"중석(흑중석, 회중석 등)광 채굴"
132003__example11,132003,example,수은 및 바나듐광석 채굴
132003__example12,132003,example,몰리브덴광석 채굴
132003__example13,132003,example,크롬광석 채굴
132003__example14,132003,example,티타늄광석 채굴
132003__example15,132003,example,지르코늄광석 채굴
132003__example16,132003,example,탄탈륨광석 채굴
132003__example17,132003,example,코발트광석 채굴
132003__example18,132003,example,안티몬광석 채굴
141001__name0,141001,name,건설용 석재 채굴 및 쇄석 생산업
141001__hier0,141001,hier,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업"
141001__desc0,141001,desc,건설용 석재 채굴
141001__example0,141001,example,대리석 채취
141001__example1,141001,example,화강암 채취
141001__example2,141001,example,사암 채취
141001__example3,141001,example,암석 채취(건축용)
141001__example4,141001,example,쇄석 채굴 생산(건설용)
141001__example5,141001,example,암석 채굴 분쇄
141001__example6,141001,example,사암 채굴 분쇄
141001__example7,141001,example,반려암 채굴 분쇄
141002__name0,141002,name,석회석 및 점토 광업
141002__hier0,141002,hier,광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석회석 및 점토 광업
141002__example0,141002,example,석회질암석 채굴
141002__example1,141002,example,백운석 채굴
141002__example2,141002,example,천연 무수석고(경석고) 채굴
141002__example3,141002,example,점토 채취
141002__example4,141002,example,"남정석, 규선석 채취"
141002__example5,141002,example,내화재용 광물 채취
141002__example6,141002,example,천연 뮬라이트 채취
141002__example7,141002,example,홍주석 채취
141002__xref0,141002,xref,천연 석고 및 무수석고 채굴
141002__xref1,141002,xref,석고 및 경석고 채취활동
141003__name0,141003,name,건설용 석재 채굴 및 쇄석 생산업
141003__hier0,141003,hier,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업"
141003__desc0,141003,desc,건설용 쇄석 생산
141003__example0,141003,example,대리석 채취
141003__example1,141003,example,화강암 채취
141003__example2,141003,example,사암 채취
141003__example3,141003,example,암석 채취(건축용)
141003__example4,141003,example,쇄석 채굴 생산(건설용)
141003__example5,141003,example,암석 채굴 분쇄
141003__example6,141003,example,사암 채굴 분쇄
141003__example7,141003,example,반려암 채굴 분쇄
141004__name0,141004,name,모래 및 자갈 채취업
141004__hier0,141004,hier,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업"
141004__example0,141004,example,자갈 채취
141004__example1,141004,example,점토사 채취
141004__example2,141004,example,규사 채취
141004__example3,141004,example,장석사 채취
141006__name0,141006,name,모래 및 자갈 채취업
141006__hier0,141006,hier,"광업 > 비금속광물 광업; 연료용 제외 > 토사석 광업 > 석재, 쇄석 및 모래, 자갈 채취업"
141006__desc0,141006,desc,공업용 모래 채취
141006__example0,141006,example,자갈 채취
141006__example1,141006,example,점토사 채취
141006__example2,141006,example,규사 채취
141006__example3,141006,example,장석사 채취
142101__name0,142101,name,그 외 기타 비금속광물 광업
142101__hier0,142101,hier,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 그 외 기타 비금속광물 광업
142101__desc0,142101,desc,"활석, 장석 및 규조토"
142101__example0,142101,example,"장석, 규조토, 백류석 채굴"
142101__example1,142101,example,"하석, 활석, 운모 채굴"
142101__example2,142101,example,섬장암 채굴
142101__example3,142101,example,규산질 토(흙) 채굴
142101__example4,142101,example,천연 동석 채굴
142101__example5,142101,example,"흑연, 인상흑연 채굴"
142101__example6,142101,example,토상흑연 채굴
142101__example7,142101,example,연마용 광물재료 채굴
142101__example8,142101,example,천연 아스팔트 채굴
142101__example9,142101,example,석면 채굴
142101__example10,142101,example,천연 커런덤 채굴
142101__example11,142101,example,다이아몬드 채굴
142101__example12,142101,example,토탄 채굴
142101__xref0,142101,xref,"흑연, 장석, 백류석, 규조토 채굴"
142102__name0,142102,name,화학용 및 비료 원료용 광물 광업
142102__hier0,142102,hier,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 화학용 및 비료 원료용 광물 광업
142102__desc0,142102,desc,납석
142102__example0,142102,example,인산염 광석 채굴
142102__example1,142102,example,"어드칼라(earth collour, 색소토) 채굴"
142102__example2,142102,example,붕산나트륨광 채굴
142102__example3,142102,example,황산마그네슘광 채굴
142102__example4,142102,example,황함유 광석 채굴
142102__example5,142102,example,빙정석 채굴
142102__example6,142102,example,황화철광 채굴
142102__example7,142102,example,치올라이트 채굴
142102__example8,142102,example,납석광 채굴
142102__example9,142102,example,붕산칼슘광 채굴
142102__example10,142102,example,명반석 채굴
142102__example11,142102,example,붕산광 채굴
142102__example12,142102,example,규회석 채굴
142102__example13,142102,example,황산비소광 채굴
142102__example14,142102,example,"황산바륨광, 탄산바륨광 채굴"
142102__example15,142102,example,연망가니즈광 채굴(건전지 제조용)
142102__xref0,142102,xref,천연 황산 마그네슘광 채굴
142104__name0,142104,name,화학용 및 비료 원료용 광물 광업
142104__hier0,142104,hier,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 화학용 및 비료 원료용 광물 광업
142104__example0,142104,example,인산염 광석 채굴
142104__example1,142104,example,"어드칼라(earth collour, 색소토) 채굴"
142104__example2,142104,example,붕산나트륨광 채굴
142104__example3,142104,example,황산마그네슘광 채굴
142104__example4,142104,example,황함유 광석 채굴
142104__example5,142104,example,빙정석 채굴
142104__example6,142104,example,황화철광 채굴
142104__example7,142104,example,치올라이트 채굴
142104__example8,142104,example,납석광 채굴
142104__example9,142104,example,붕산칼슘광 채굴
142104__example10,142104,example,명반석 채굴
142104__example11,142104,example,붕산광 채굴
142104__example12,142104,example,규회석 채굴
142104__example13,142104,example,황산비소광 채굴
142104__example14,142104,example,"황산바륨광, 탄산바륨광 채굴"
142104__example15,142104,example,연망가니즈광 채굴(건전지 제조용)
142104__xref0,142104,xref,천연 황산 마그네슘광 채굴
142200__name0,142200,name,천일염 생산 및 암염 채취업
142200__hier0,142200,hier,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 천일염 생산 및 암염 채취업
142200__example0,142200,example,염수 생산(천연)
142200__example1,142200,example,식염 채취
142200__example2,142200,example,간수 생산(천연)
142200__example3,142200,example,순염화나트륨 채취
142200__xref0,142200,xref,암염 채취 및 천일염 생산
142902__name0,142902,name,그 외 기타 비금속광물 광업
142902__hier0,142902,hier,광업 > 비금속광물 광업; 연료용 제외 > 기타 비금속광물 광업 > 그 외 기타 비금속광물 광업
142902__example0,142902,example,"장석, 규조토, 백류석 채굴"
142902__example1,142902,example,"하석, 활석, 운모 채굴"
142902__example2,142902,example,섬장암 채굴
142902__example3,142902,example,규산질 토(흙) 채굴
142902__example4,142902,example,천연 동석 채굴
142902__example5,142902,example,"흑연, 인상흑연 채굴"
142902__example6,142902,example,토상흑연 채굴
142902__example7,142902,example,연마용 광물재료 채굴
142902__example8,142902,example,천연 아스팔트 채굴
142902__example9,142902,example,석면 채굴
142902__example10,142902,example,천연 커런덤 채굴
142902__example11,142902,example,다이아몬드 채굴
142902__example12,142902,example,토탄 채굴
142902__xref0,142902,xref,"흑연, 장석, 백류석, 규조토 채굴"
142909__name0,142909,name,원유 및 천연가스 채굴업
